,country,date,count
0,Afghanistan,2020-01-22,0.0
1,Albania,2020-01-22,0.0
2,Algeria,2020-01-22,0.0
3,Andorra,2020-01-22,0.0
4,Angola,2020-01-22,0.0
5,Antigua and Barbuda,2020-01-22,0.0
6,Argentina,2020-01-22,0.0
7,Armenia,2020-01-22,0.0
8,Australia,2020-01-22,0.0
9,Austria,2020-01-22,0.0
10,Azerbaijan,2020-01-22,0.0
11,"Bahamas, The",2020-01-22,0.0
12,Bahrain,2020-01-22,0.0
13,Bangladesh,2020-01-22,0.0
14,Barbados,2020-01-22,0.0
15,Belarus,2020-01-22,0.0
16,Belgium,2020-01-22,0.0
17,Benin,2020-01-22,0.0
18,Bhutan,2020-01-22,0.0
19,Bolivia,2020-01-22,0.0
20,Bosnia and Herzegovina,2020-01-22,0.0
21,Brazil,2020-01-22,0.0
22,Brunei,2020-01-22,0.0
23,Bulgaria,2020-01-22,0.0
24,Burkina Faso,2020-01-22,0.0
25,Cabo Verde,2020-01-22,0.0
26,Cambodia,2020-01-22,0.0
27,Cameroon,2020-01-22,0.0
28,Canada,2020-01-22,0.0
29,Cape Verde,2020-01-22,0.0
30,Central African Republic,2020-01-22,0.0
31,Chad,2020-01-22,0.0
32,Chile,2020-01-22,0.0
33,China,2020-01-22,548.0
34,Colombia,2020-01-22,0.0
35,Congo (Brazzaville),2020-01-22,0.0
36,Congo (Kinshasa),2020-01-22,0.0
37,Costa Rica,2020-01-22,0.0
38,Cote d'Ivoire,2020-01-22,0.0
39,Croatia,2020-01-22,0.0
40,Cruise Ship,2020-01-22,0.0
41,Cuba,2020-01-22,0.0
42,Cyprus,2020-01-22,0.0
43,Czechia,2020-01-22,0.0
44,Denmark,2020-01-22,0.0
45,Djibouti,2020-01-22,0.0
46,Dominica,2020-01-22,0.0
47,Dominican Republic,2020-01-22,0.0
48,East Timor,2020-01-22,0.0
49,Ecuador,2020-01-22,0.0
50,Egypt,2020-01-22,0.0
51,El Salvador,2020-01-22,0.0
52,Equatorial Guinea,2020-01-22,0.0
53,Eritrea,2020-01-22,0.0
54,Estonia,2020-01-22,0.0
55,Eswatini,2020-01-22,0.0
56,Ethiopia,2020-01-22,0.0
57,Fiji,2020-01-22,0.0
58,Finland,2020-01-22,0.0
59,France,2020-01-22,0.0
60,French Guiana,2020-01-22,0.0
61,Gabon,2020-01-22,0.0
62,"Gambia, The",2020-01-22,0.0
63,Georgia,2020-01-22,0.0
64,Germany,2020-01-22,0.0
65,Ghana,2020-01-22,0.0
66,Greece,2020-01-22,0.0
67,Greenland,2020-01-22,0.0
68,Grenada,2020-01-22,0.0
69,Guadeloupe,2020-01-22,0.0
70,Guam,2020-01-22,0.0
71,Guatemala,2020-01-22,0.0
72,Guernsey,2020-01-22,0.0
73,Guinea,2020-01-22,0.0
74,Guyana,2020-01-22,0.0
75,Haiti,2020-01-22,0.0
76,Holy See,2020-01-22,0.0
77,Honduras,2020-01-22,0.0
78,Hungary,2020-01-22,0.0
79,Iceland,2020-01-22,0.0
80,India,2020-01-22,0.0
81,Indonesia,2020-01-22,0.0
82,Iran,2020-01-22,0.0
83,Iraq,2020-01-22,0.0
84,Ireland,2020-01-22,0.0
85,Israel,2020-01-22,0.0
86,Italy,2020-01-22,0.0
87,Jamaica,2020-01-22,0.0
88,Japan,2020-01-22,2.0
89,Jersey,2020-01-22,0.0
90,Jordan,2020-01-22,0.0
91,Kazakhstan,2020-01-22,0.0
92,Kenya,2020-01-22,0.0
93,"Korea, South",2020-01-22,1.0
94,Kosovo,2020-01-22,0.0
95,Kuwait,2020-01-22,0.0
96,Kyrgyzstan,2020-01-22,0.0
97,Latvia,2020-01-22,0.0
98,Lebanon,2020-01-22,0.0
99,Liberia,2020-01-22,0.0
100,Liechtenstein,2020-01-22,0.0
101,Lithuania,2020-01-22,0.0
102,Luxembourg,2020-01-22,0.0
